metabolite,coefficient,abs_coefficient
4-Phenylbutanoic acid,1.907820761457273e-05,1.907820761457273e-05
N-(4-Methoxyphenyl)ethanethioamide,1.710729888030136e-05,1.710729888030136e-05
5-Heptyltetrahydro-2-oxo-3-furancarboxylic_acid,-1.1739229839604811e-05,1.1739229839604811e-05
Sucrose,8.86656457738442e-06,8.86656457738442e-06
Andrographiside,6.4379159801787525e-06,6.4379159801787525e-06
N-Methylcalystegine_C1,9.580021591511402e-07,9.580021591511402e-07
2-Methylglutaric acid,-5.863783823751057e-07,5.863783823751057e-07
H-Val-Ala-OH,4.907247773901169e-07,4.907247773901169e-07
beta-Guanidinopropionic acid,-3.285372008028568e-07,3.285372008028568e-07
Nefopam (hydrochloride),-2.589860895189011e-07,2.589860895189011e-07
"(2E,6E,10E,14S)-14-((2-O-.beta.-D-Glucopyranosyl-.beta.-D-glucopyranosyl)oxy)-2,6,10,14-tetramethylhexadeca-2,6,10,15-tetraenoic acid",2.201048011099493e-07,2.201048011099493e-07
Daminozide,-2.0922024357932188e-07,2.0922024357932188e-07
Xylitol,-1.4678209589907068e-07,1.4678209589907068e-07
Puerarin,-8.76356368071266e-08,8.76356368071266e-08
4-Chloro-6-(4-propylphenoxy)-2-pyrimidinylamine,6.099009538213476e-08,6.099009538213476e-08
"4-Phenyl-1H-benzo[f]isoindole-1,3(2H)-dione",-1.3560367849439793e-08,1.3560367849439793e-08
2'-Hydroxy-4'-methylacetophenone,-5.946848916082989e-18,5.946848916082989e-18
